ATERIO_DATACENTER_UNIQUE_ID,DATACENTER_BUILDING_NAME,DATACENTER_CAMPUS_NAME,PROVIDER_NAME,PROVIDER_URL,PROVIDER_PUBLIC_PRIVATE,PROVIDER_TICKER_NAME,PROVIDER_BLOOMBERG_TICKER_NAME,STOCK_EXCHANGE_PROVIDER_NAME,PROVIDER_BACKED_BY,DATACENTER_STAGE,FULL_ADDRESS,ZIP_CODE,COUNTY_FIPS_CODE,COUNTY_NAME,CITY_NAME,PLACE_FIPS_CODE,STATE_CODE,STATE_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,SITE_ACREAGE,TOT_FACILITY_SPACE_SQFT,TOT_DATACENTER_SPACE_SQFT,TOT_POWER_MW,EST_TOT_POWER_MW,EST_TOT_POWER_MW_LOWER,EST_TOT_POWER_MW_UPPER,AVG_MARKET_POWER_COST,CENTS_KWH,YEAR_BUILT,UTILITY_NAME,UTILITY_CODE,UTILITY_PUBLIC_PRIVATE,UTILITY_TICKER_NAME,UTILITY_BLOOMBERG_TICKER_NAME,UTILITY_EXCHANGE_PROVIDER_TICKER_NAME,DATASHEET_URL,MAP_URL,NOTES,RECORD_UPDATED_DATE,UPDATED_AT
d60ef714-c6e0-42ce-9ec4-f476c3c31d47,Palmeto GA Data Center  (East US 3),"Georgia 2, Microsoft Campus",Microsoft,https://www.azure.microsoft.com/en-ca/explore/global-infrastructure,Public,MSFT,MSFT:US,NASDAQ:MSFT,,Announcement,,,,,,,GA,Georgia,,,116,245000,250000,,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.datacenterdynamics.com/en/news/microsoft-acquires-another-136-acres-outside-atlanta-georgia/,,No location details available,2024-09-20,2024-11-15
300e7c04-f741-4c18-a773-9f040da6d2c8,Boston BOS13 Data Center,,Digital Realty,https://www.digitalrealty.com,Public,DLR,DLR:US,NYSE:DLR,NYSE:BX,Active,"55 Middlesex Turnpike, Bedford, MA, USA",01730,25017,Middlesex County,Bedford,,MA,Massachusetts,42.5124445,-71.236748,,106000,106000,10,On Subscription,On Subscription,On Subscription,13.04,,1971,,,,,,,https://www.digitalrealty.com/data-centers/americas/boston/bos13,https://maps.app.goo.gl/qJ9GRq97Wu623zG78,,2024-10-23,2024-11-15
1ead58ba-5af9-427a-b35c-49afb509a0bf,Marlborough 250 Facility,,Sungard Availability Services,https://1111systems.com/,Private,,,,,Active,"250 Locke Drive, Marlborough, MA",01752,25017,Middlesex County,Marlborough,38715,MA,Massachusetts,42.35248743,-71.58609808,,62000,23000,3,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.sungardas.com/hubfs/_multimedia/document-file/sungardas-data-center-datasheet-marlborough-250-facility-boston-massachusetts.pdf?hsLang=fr-fr,https://maps.app.goo.gl/2VKWoS8YqJfixuEY7,,2024-09-20,2024-11-15
75ba8f6d-c3af-49fe-8571-790adc198df0,BOS01 Boston Data Center,,EdgeConnex,https://www.edgeconnex.com,Private,,,,,Active,"22 Linnell Circle, Billerica, MA 01821, USA",01821,25017,Middlesex County,Billerica,,MA,Massachusetts,42.5285134,-71.2493674,,54700,54700,1.5,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.edgeconnex.com/locations/americas/boston-ma/,https://maps.app.goo.gl/PYUnp9kMCGMiY9Nq8,,2024-09-20,2024-11-15
f23a029a-e9ba-481c-acd9-c543ab9e19bf,BOS1 Waltham Data Center Campus,,Centersquare,https://www.centersquaredc.com,Private,,,,Brookfield,Active,"580 Winter Street, Waltham, MA, USA",02451,25017,Middlesex County,Waltham,72600,MA,Massachusetts,42.3967937,-71.2674674,,165968,165968,16,On Subscription,On Subscription,On Subscription,13.04,,1960,,,,,,,https://centersquaredc.com/hubfs/CenterSquare/docs/Centersquare-BOS-SpecSheet.pdf,https://maps.app.goo.gl/NjQRtTE29bdhdbPBA,,2024-09-20,2024-11-15
298cca0f-2671-4a1e-acd9-3ea4a35fe0c2,BOS4 Waltham Data Center Campus,,Centersquare,https://www.centersquaredc.com,Private,,,,Brookfield,Active,"486 Arsenal Way, Watertown, MA, USA",02472,25017,Middlesex County,Watertown,,MA,Massachusetts,42.36609703,-71.15936434,,201590,201590,15,On Subscription,On Subscription,On Subscription,13.04,,2002,,,,,,,https://centersquaredc.com/hubfs/CenterSquare/docs/Centersquare-BOS-SpecSheet.pdf,https://maps.app.goo.gl/x7fWMQE5qQQDPvA57,,2024-09-20,2024-11-15
a98b332f-1337-4eea-9a52-f526ca5704d1,NYM10 Stamford Data Center,,CyrusOne,https://www.cyrusone.com,Private,,,,KKR,Active,"10 Riverbend Drive South, Stamford, CT, USA",06907,09001,Fairfield County,Stamford,73000,CT,Connecticut,41.0827604,-73.5194693,,57000,20000,4,On Subscription,On Subscription,On Subscription,12.79,,1967,,,,,,,https://www.cyrusone.com/data-centers/north-america/connecticut/nym10-stamford,https://maps.app.goo.gl/8BaXvhgH3PB5PS1U7,,2024-09-20,2024-11-15
24ec6395-3dbd-4858-8d0e-61e933fc4a2b,Gainesville Crossing Building 1,"Gainesville, Corescale Campus",Corscale,https://corscale.com/,Private,,,,Patrinely Group,Active,"13760 University Blvd, Gainesville, VA ",20155,51153,Prince William County,Gainesville,30176,VA,Virginia,38.80238328,-77.58377523,130,500000,500000,72,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://corscale.com/press-releases/corscale-begins-construction-on-its-second-building-at-gainesville-crossing-campus/,https://maps.app.goo.gl/FyRWQMNZNPjr5ueQ7,Satellite 2024-03-12  Construction 100%,2024-11-07,2024-11-15
d72add2b-ec19-4088-b60a-64d1a5b37259,IAD-03 Data Center,,Aligned Data Centers,https://www.aligneddc.com,Private,,,,,Construction,"22715 Relocation Drive, 20166 Sterling, Virginia",20166,51107,Loudoun County,Sterling,75376,VA,Virginia,38.98855252,-77.44074871,10,430000,430000,72,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://aligneddc.com/aligned-data-centers-expands-presence-in-northern-virginia-with-new-sterling-hyperscale-campus/,https://maps.app.goo.gl/SGr3b5AGTxxHUWCi8,"Satellite 2024-11-02, Construction 80%, 2 possible DC beside it ",2024-11-04,2024-11-15
1caf3f25-38c7-4d1e-9e29-ac5fc05860d3,Maryland Hyperscale Data Center Building 1,"Maryland, Aligned Hyperscale Campus",Aligned Data Centers,https://www.aligneddc.com,Private,,,,,Announcement,"5601 Manor Woods Road, Frederick, MD",21703,24021,Frederick County,Frederick,30325,MD,Maryland,39.335916,-77.474017,75,427500,427500,66,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://aligneddc.com/maryland/,https://maps.app.goo.gl/nNqw33F93EkvcKgy9,"Satellite 2024-08-11, No construction",2024-09-20,2024-11-15
9d07c797-3ad6-4939-b340-96d113698efe,PowerHouse 95 Building 1,"Virginia, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"Route I-95 and Hwy 17, Spotsylvania, Virginia",22407,51177,Spotsylvania County,Fredericksburg,29744,VA,Virginia,38.24247841,-77.50186807,145,437500,437500,100,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.powerhousedata.com/data-center/powerhouse-95,https://maps.app.goo.gl/7W2kVAxmuQarEWMM8,Satellite 2024-02-25 No Construction,2024-09-20,2024-11-15
a32235d0-d511-48bc-9945-87a1f4938691,PowerHouse Charlotte Building 2,"Charlotte, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"10800 University City Blvd, Charlotte, NC, USA",28213,37119,Mecklenburg County,Charlotte,12000,NC,North Carolina,35.31213095,-80.7015767,122,500000,500000,60,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.datacenterdynamics.com/en/news/powerhouse-seeks-to-build-data-center-campus-in-charlotte-north-carolina/,https://maps.app.goo.gl/FXc2RiNw7yQMoJsdA,"Satellite 2024-09-10 No Construction, Wating for Permissions",2024-11-14,2024-11-15
87f95852-d850-473b-b3c0-89ca13dd0da5,PowerHouse Charlotte Building 1,"Charlotte, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"10800 University City Blvd, Charlotte, NC, USA",28213,37119,Mecklenburg County,Charlotte,12000,NC,North Carolina,35.31213095,-80.7015767,122,500000,500000,60,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.jsa.net/powerhouse-and-town-lane-announce-acquisition-of-future-data-center-in-nc/,https://maps.app.goo.gl/FXc2RiNw7yQMoJsdA,"Satellite 2024-09-10 No Construction, Wating for Permissions",2024-11-14,2024-11-15
eb7b3a39-3837-471b-b721-f69b6e1083d7,PowerHouse Charlotte Building 4,"Charlotte, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"10800 University City Blvd, Charlotte, NC, USA",28213,37119,Mecklenburg County,Charlotte,12000,NC,North Carolina,35.31213095,-80.7015767,122,500000,500000,60,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.jsa.net/powerhouse-and-town-lane-announce-acquisition-of-future-data-center-in-nc/,https://maps.app.goo.gl/FXc2RiNw7yQMoJsdA,"Satellite 2024-09-10 No Construction, Wating for Permissions",2024-11-14,2024-11-15
eb950679-5059-479a-9ab2-9e2965db7210,PowerHouse Charlotte Building 5,"Charlotte, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"10800 University City Blvd, Charlotte, NC, USA",28213,37119,Mecklenburg County,Charlotte,12000,NC,North Carolina,35.31213095,-80.7015767,122,500000,500000,60,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.jsa.net/powerhouse-and-town-lane-announce-acquisition-of-future-data-center-in-nc/,https://maps.app.goo.gl/FXc2RiNw7yQMoJsdA,"Satellite 2024-09-10 No Construction, Wating for Permissions",2024-11-14,2024-11-15
7e1a3ff8-c198-4dca-b0c5-211f67fcb254,PowerHouse Charlotte Building 3,"Charlotte, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"10800 University City Blvd, Charlotte, NC, USA",28213,37119,Mecklenburg County,Charlotte,12000,NC,North Carolina,35.31213095,-80.7015767,122,500000,500000,60,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.datacenterdynamics.com/en/news/powerhouse-seeks-to-build-data-center-campus-in-charlotte-north-carolina/,https://maps.app.goo.gl/FXc2RiNw7yQMoJsdA,"Satellite 2024-09-10 No Construction, Wating for Permissions",2024-11-14,2024-11-15
4715b0f6-61b7-4787-bc43-b4d98e19a4d1,ATL 11 Atlanta Data Center,"Atlanta, EdgeConnex Campus",EdgeConnex,https://www.edgeconnex.com,Private,,,,TA Realty,Announcement,"4810 Stonewall Tell Rd, College Park, GA ",30349,13121,Fulton County,Atlanta,04000,GA,Georgia,33.62536043,-84.5619878,,,,65,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.businesswire.com/news/home/20240716972388/en/TA-Realty-and-EdgeConneX%C2%AE-to-Develop-324-MW-Hyperscale-Campus-in-Atlanta-GA,https://maps.app.goo.gl/UbWPh9DK7A5gZVzR8,Satellite 2024-08-25 No Construction,2024-09-20,2024-11-15
82bdf520-065f-485d-8f8d-833e06ab9af9,ATL 12 Atlanta Data Center,"Atlanta, EdgeConnex Campus",EdgeConnex,https://www.edgeconnex.com,Private,,,,TA Realty,Announcement,"4810 Stonewall Tell Rd, College Park, GA ",30349,13121,Fulton County,Atlanta,04000,GA,Georgia,33.62536043,-84.5619878,,,,65,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.businesswire.com/news/home/20240716972388/en/TA-Realty-and-EdgeConneX%C2%AE-to-Develop-324-MW-Hyperscale-Campus-in-Atlanta-GA,https://maps.app.goo.gl/UbWPh9DK7A5gZVzR8,Satellite 2024-08-25 No Construction,2024-09-20,2024-11-15
6793b57d-e515-4e98-b56a-81fcc3f4eb0b,ATL 13 Atlanta Data Center,"Atlanta, EdgeConnex Campus",EdgeConnex,https://www.edgeconnex.com,Private,,,,TA Realty,Announcement,"4810 Stonewall Tell Rd, College Park, GA ",30349,13121,Fulton County,Atlanta,04000,GA,Georgia,33.62536043,-84.5619878,,,,65,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.businesswire.com/news/home/20240716972388/en/TA-Realty-and-EdgeConneX%C2%AE-to-Develop-324-MW-Hyperscale-Campus-in-Atlanta-GA,https://maps.app.goo.gl/UbWPh9DK7A5gZVzR8,Satellite 2024-08-25 No Construction,2024-09-20,2024-11-15
784bb4f9-4cc3-440f-bb30-8862fc53601c,NAL01 New Albany Data Center,NAL New Albany Campus,STACK Infrastructure,https://www.stackinfra.com,Private,,,,,Active,"7300 Souder Rd, New Albany, OH ",43054,39049,Franklin County,New Albany,53970,OH,Ohio,40.10652911,-82.8014375,40,100000,100000,20,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.stackinfra.com/locations/new-albany/,https://maps.app.goo.gl/ESNaHpo7xadM9RPY8,Area measured by aterio,2024-09-20,2024-11-15
6325a8ff-5909-411e-aeff-5d167fce668c,NAL02 New Albany Data Center,NAL New Albany Campus,STACK Infrastructure,https://www.stackinfra.com,Private,,,,,Announcement,"7300 Souder Rd, New Albany, OH ",43054,39049,Franklin County,New Albany,53970,OH,Ohio,40.10652911,-82.8014375,40,150000,150000,40,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.stackinfra.com/locations/new-albany/,https://maps.app.goo.gl/ESNaHpo7xadM9RPY8,Area measured by aterio,2024-09-20,2024-11-15
25ad0e36-894b-40d8-a999-2de57b4708ff,MSP-1 Minneapolis,MSP (Chaska) Cloud HQ Campus,CloudHQ,https://cloudhq.com,Private,,,,,Announcement,"2007 Schoolmaster Dr, Chaska, MN",55318,27019,Carver County,Chaska,10972,MN,Minnesota,44.81067528,-93.63303879,,1100000,1100000,200,On Subscription,On Subscription,On Subscription,7.71,,,,,,,,,https://cloudhq.com/campus/msp-campus/,https://maps.app.goo.gl/DaXntjteLgqcpzwm8,Satellite 2024-07-07 No Construction -RFS Within 20 Months,2024-09-20,2024-11-15
437368a1-326b-40f0-add6-d82091e310fc,ORD01-1 Chicago Campus,"Chicago, Edged Campus",Edged Energy,https://www.edged.us/,Private,,,,www.endeavourii.com,Active,"2835 Bilter Road, Aurora, IL ",60502,17043,Dupage County,Aurora,03012,IL,Illinois,41.80671545,-88.24089656,65,210000,210000,24,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.edged.us/chicago,https://maps.app.goo.gl/mrfpuDGMLVU2JUaf9,,2024-11-08,2024-11-15
f37f27fe-97b1-4042-aeba-808787b58309,St. Louis - Locust Data Center,,TierPoint,https://www.tierpoint.com,Private,,,,,Construction,"2300 Locust St, St. Louis, MO",63103,29510,St. Louis City,Saint Louis,65000,MO,Missouri,38.63365014,-90.21268073,,135840,22640,5,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.tierpoint.com/data-centers/missouri/st-louis-locust/,https://maps.app.goo.gl/FyZdheSc5v5BxpSx8,"22,640 sqft of raised floor",2024-09-20,2024-11-15
4efa492c-84de-436e-b8d0-39adcd462ac3,KCM - 1 - Kansas City Data Center,,Iron Mountain Data Centers,https://www.ironmountain.com/data-centers,Public,IRM,IRM:US,NYSE:IRM,,Active,"6301 Winchester Avenue, Kansas City, MO, USA",64133,29095,Jackson County,Kansas City,38000,MO,Missouri,39.0100744,-94.5041505,22,50000,50000,3.9,On Subscription,On Subscription,On Subscription,7.24,,2006,,,,,,,https://www.ironmountain.com/data-centers/locations/kansas-city-data-center,https://maps.app.goo.gl/Fj3JeqmyjrHNQMmy5,Underground,2024-09-20,2024-11-15
a2b22382-95b6-40d0-907a-4dfd58270c54,PowerHouse Irving Building C,"Irving, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"111 Customer Way, Irving, Texas",75039,48113,Dallas County,Irving,37000,TX,Texas,32.88848609,-96.94005694,50,315000,315000,66,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.powerhousedata.com/data-center/powerhouse-irving,https://maps.app.goo.gl/tyvkJogJBVdXnKsk7,Satellite 2024-02-01 No Construction,2024-09-20,2024-11-15
74cb660c-8411-4cd0-97ad-ce1d10f0a492,PowerHouse Irving Building B,"Irving, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"111 Customer Way, Irving, Texas",75039,48113,Dallas County,Irving,37000,TX,Texas,32.88848609,-96.94005694,50,315000,315000,66,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.powerhousedata.com/data-center/powerhouse-irving,https://maps.app.goo.gl/tyvkJogJBVdXnKsk7,Satellite 2024-02-01 No Construction,2024-09-20,2024-11-15
90c65543-e243-4f37-9b05-bc328c0a03d3,PowerHouse Irving Building A,"Irving, Powerhouse Campus",Power House Data Centers,https://www.powerhousedata.com,Private,,,,American Real Estate Partners,Announcement,"111 Customer Way, Irving, Texas",75039,48113,Dallas County,Irving,37000,TX,Texas,32.88848609,-96.94005694,50,315000,315000,66,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.powerhousedata.com/data-center/powerhouse-irving,https://maps.app.goo.gl/tyvkJogJBVdXnKsk7,Satellite 2024-02-01 No Construction,2024-09-20,2024-11-15
c3401bfb-d26d-4593-8b27-d483bbcebae4,1301 Fannin Houston Data Center,,Netrality Data Centers,https://www.netrality.com,Private,,,,,Active,"1301 Fannin Street, Houston, TX, USA",77002,48201,Harris County,Houston,35000,TX,Texas,29.7533742,-95.3657403,,784143,784143,26,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://netrality.com/locations/data-center-houston/,https://maps.app.goo.gl/Pma3BvRGPH6zLzeh8,,2024-09-20,2024-11-15
69ddcdda-8fcd-45a9-a6af-caca12226128,HOU3 -Westway Park III Data Center,,DataBank,https://www.databank.com,Private,,,,,Active,"11003 Corporate Centre Dr, Houston, TX 77041, USA",77041,48201,Harris County,Houston,35000,TX,Texas,29.84406,-95.560354,,162000,41860,4.5,On Subscription,On Subscription,On Subscription,5.51,,2014,,,,,,,https://www.databank.com/data-centers/houston/westway-park-campus/11003-corporate-centre-dr/,https://maps.app.goo.gl/UqceAVXrZP9Gwxra8,,2024-09-20,2024-11-15
cd6f3ade-30c4-4dfe-ab80-6e156e2d1bfe,Houston Data Center,,Skybox Datacenters,https://www.skyboxdatacenters.com,Private,,,,Prologis,Active,"22000 Franz Rd, Katy, TX ",77449,48201,Harris County,Katy,38476,TX,Texas,29.80306186,-95.75568392,19,96129,96129,26,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.skyboxdatacenters.com/locations/skybox-houston,https://maps.app.goo.gl/BtEpfNLj52FxhPXq7,,2024-09-20,2024-11-15
2cc67396-2ba8-437d-8225-5af96e036050,San Antonio III,"San Antonio, Streamdatacenters Campus",Stream Data Centers,https://www.streamdatacenters.com,Private,,,,"Stream Realty Partners, LP",Construction,"11203 W MILITARY DRIVE, SAN ANTONIO, TX, USA",78253,48029,Bexar County,San Antonio,65000,TX,Texas,29.44851597,-98.71479035,135,150000,300000,40,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.streamdatacenters.com/locations/san-antonio-iii/,https://maps.app.goo.gl/pgU7bErpJKwin1Jt7,Scheduled for occupancy in 2Q 2025,2024-09-20,2024-11-15
4233e8e8-bd36-4092-be6f-d5815af4e1a7,Austin 1 Data Center,"Austin, Skybox Campus",Skybox Datacenters,https://www.skyboxdatacenters.com,Private,,,,Prologis,Construction,"600 New Meister Lane, Pflugerville, TX",78660,48453,Travis County,Pflugerville,57176,TX,Texas,30.48249212,-97.62317512,25,,141000,30,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.skyboxdatacenters.com/locations/austin-i,https://maps.app.goo.gl/JLiTXVoRj3AiJRCr8,Satellite 2024-01-31 Construction 90%,2024-09-20,2024-11-15
1c02c7a3-91e4-4944-ae0e-39090ebb5397,Denver Data Center,,STACK Infrastructure,https://www.stackinfra.com,Private,,,,,Active,"1500 Champa St, Denver, CO ",80202,08031,Denver County,Denver,20000,CO,Colorado,39.74579192,-104.9945216,,138000,138000,5,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.stackinfra.com/locations/denver/,https://maps.app.goo.gl/oAULV5zBWtzYDkuBA,,2024-09-20,2024-11-15
58e7fbb0-37d6-4df6-961c-9218645b7c79,Cheyenne Data Center Building 2,"Cheyenne, Meta Campus",Facebook,https://www.datacenters.atmeta.com,Public,META,META:US,NASDAQ:META,,Announcement,"1401 Otto Rd, Cheyenne, WY ",82001,56021,Laramie County,Cheyenne,13900,WY,Wyoming,41.09793496,-105.0338324,,357500,357500,,On Subscription,On Subscription,On Subscription,,,,,,,,,,https://www.facebook.com/CheyenneDataCenter/posts/122093551838403315,https://maps.app.goo.gl/yP4EpaLviSMebgtt6,Satellite No Construction,2024-09-20,2024-11-15
